repo,category,all_tags,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
meilisearch/meilisearch,Tools & Libraries,"ALT, Datasets, Evaluation, Survey Paper, Text Retrieval, Tools & Libraries",52862,26,0.05%,0,0%,2134,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,,0,2018-04-23,2025-08-21,1223
QuivrHQ/quivr,Tools & Libraries,"ALT, Re-ranking, Survey Paper, Tools & Libraries",38314,3,0.01%,0,0%,3673,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want.",,0,2023-05-12,2025-07-09,0
chatchat-space/Langchain-Chatchat,Tools & Libraries,"ALT, Re-ranking, Tools & Libraries",35935,7,0.02%,0,0%,5998,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain",,0,2023-03-31,2025-03-25,0
facebookresearch/faiss,Similarity Search,"Compact Codes, Distance Metric Learning, Large-Scale Search, Quantization, Similarity Search, Tools & Libraries",36713,0,0%,0,0%,4009,A library for efficient similarity search and clustering of dense vectors.,,0,2017-02-07,2025-08-20,0
milvus-io/milvus,Tools & Libraries,"Efficiency, Image Retrieval, Similarity Search, Survey Paper, Tools & Libraries, Vector Indexing",36709,28,0.08%,0,0%,3353,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",,0,2019-09-16,2025-08-21,3786
pathwaycom/llm-app,Efficiency,"ALT, Efficiency, Hybrid ANN Methods, Text Retrieval, Tools & Libraries, Vector Indexing",29929,7,0.02%,0,0%,853,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more.",,0,2023-07-19,2025-07-30,0
chroma-core/chroma,Text Retrieval,"ALT, Survey Paper, Text Retrieval, Tools & Libraries",21926,67,0.31%,0,0%,1728,Open-source search and retrieval database for AI applications.,"HammadB, codetheweb, jeffchuber",100+,2022-10-05,2025-08-21,0
deepset-ai/haystack,Tools & Libraries,"ALT, Evaluation, Survey Paper, Tools & Libraries",21963,33,0.15%,0,0%,2314,"AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots.",,0,2019-11-14,2025-08-21,0
qdrant/qdrant,Evaluation,"Evaluation, Image Retrieval, Quantization, Similarity Search, Text Retrieval, Tools & Libraries",25426,29,0.11%,0,0%,1771,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",,0,2020-05-30,2025-08-21,1186
pgvector/pgvector,Similarity Search,"Distance Metric Learning, Evaluation, Graph-based ANN, Quantization, Similarity Search, Text Retrieval",17124,21,0.12%,0,0%,852,Open-source vector similarity search for Postgres,"ankane, hlinnaka, jkatz",21,2021-04-20,2025-08-19,0
spotify/annoy,Memory Efficiency,"Datasets, Distance Metric Learning, Evaluation, Locality Sensitive Hashing, Memory Efficiency, Tools & Libraries",13910,3,0.02%,0,0%,1207,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk,,0,2013-04-01,2024-07-29,0
weaviate/weaviate,Quantization,"Image Retrieval, Memory Efficiency, Quantization, Similarity Search, Survey Paper, Tools & Libraries",14270,9,0.06%,0,0%,1045,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",,0,2016-03-30,2025-08-21,210
neuml/txtai,Tools & Libraries,"Datasets, Evaluation, Similarity Search, Survey Paper, Tools & Libraries, Vector Indexing",11447,14,0.12%,0,0%,730,"💡 All-in-one open-source AI framework for semantic search, LLM orchestration and language model workflows",,0,2020-08-09,2025-08-19,0
